File Name:,G:\MicroPEM\Problem_raw_file\UGF320406N_KHC1861raw.csv
Download Date:,05/18/2016
Total Download Time (s):,5.6

Device Serial #:,UGF320406N
Date/Time Hardware:,2/15/2013
Date/Time Software:,1/7/2015,v2.0.5485.32893
Participant ID#:,
Filter ID#:,KHC1861
Participant Weight (kg),NA
Inlet Aerosol Size:,PM2.5
Laser Cycling Variables:Delay - Sampling time - Off time,1,1,8
System Times,30,30
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only)
Nephelometer,3.0000,70,10
Temperature,1.0000,54,30
Humidity,1.0000,-2,10
Inlet Pressure,4095.0000,0,30,1280,768
Orifice Pressure,4095.0000,0,30,1558,1181
Flow,,,30,900,200,0.4
Accelerometer,,,5
Battery,,,60
Ventilation,NA,NA

Date,Time,RH-Corrected Nephelometer,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid


10/20/2015,11:52:05,,,,,,,,0.90,-0.42,0.21,1.02,,,
10/20/2015,11:52:10,12,30.2,63.1,4.3,0.66,0.66,0.40,1.19,0.69,0.25,1.40,,,
10/20/2015,11:52:15,,,,,,,,1.27,0.01,0.13,1.28,,,
10/20/2015,11:52:20,21,,62.9,,,,,1.27,-0.32,0.02,1.31,,,
10/20/2015,11:52:25,,,,,,,,0.88,-0.29,-0.38,1.01,,,
10/20/2015,11:52:30,9,,62.7,,,,,0.90,-0.27,-0.32,0.99,,,
10/20/2015,11:53:00,,,,,,,,0.88,-0.30,-0.25,0.96,,,
10/20/2015,11:53:05,,,,,,,,0.93,-0.34,0.12,1.00,,,
10/20/2015,11:53:10,19,30.1,63.3,4.3,0.65,0.64,0.41,0.98,-0.15,0.13,1.00,,,
10/20/2015,11:53:15,,,,,,,,-0.23,-0.91,0.19,0.96,,,
10/20/2015,11:53:20,31,,63.2,,,,,-0.25,-0.92,0.18,0.97,,,
10/20/2015,11:53:25,,,,,,,,-0.25,-0.92,0.19,0.97,,,
10/20/2015,11:53:30,24,,63.4,,,,,-0.25,-0.91,0.19,0.96,,,
10/20/2015,11:54:00,,,,,,,,-0.25,-0.92,0.19,0.97,,,
10/20/2015,11:54:05,,,,,,,,-0.26,-0.93,0.19,0.98,,,
10/20/2015,11:54:10,19,30.0,63.7,4.4,0.66,0.67,0.40,-0.25,-0.91,0.19,0.96,,,
10/20/2015,11:54:15,,,,,,,,-0.26,-0.93,0.20,0.98,,,
10/20/2015,11:54:20,26,,63.2,,,,,-0.25,-0.92,0.20,0.97,,,
10/20/2015,11:54:25,,,,,,,,-0.25,-0.91,0.20,0.97,,,
10/20/2015,11:54:30,19,,63.5,,,,,-0.25,-0.90,0.20,0.96,,,
10/20/2015,11:55:00,,,,,,,,-0.26,-0.91,0.19,0.97,,,
10/20/2015,11:55:05,,,,,,,,-0.27,-0.92,0.19,0.97,,,
10/20/2015,11:55:10,16,30.0,63.9,4.4,0.65,0.65,0.41,-0.26,-0.92,0.20,0.98,,,
10/20/2015,11:55:15,,,,,,,,-0.26,-0.91,0.21,0.97,,,
10/20/2015,11:55:20,9,,63.6,,,,,-0.26,-0.91,0.20,0.97,,,
10/20/2015,11:55:25,,,,,,,,-0.26,-0.92,0.20,0.98,,,
10/20/2015,11:55:30,9,,63.4,,,,,-0.26,-0.91,0.20,0.97,,,
10/20/2015,11:56:00,,,,,,,,-0.26,-0.91,0.20,0.97,,,
10/20/2015,11:56:05,,,,,,,,-0.27,-0.92,0.20,0.98,,,
10/20/2015,11:56:10,9,29.9,63.6,4.4,0.66,0.66,0.40,-0.27,-0.91,0.20,0.97,,,
10/20/2015,11:56:15,,,,,,,,-0.26,-0.90,0.22,0.96,,,
10/20/2015,11:56:20,19,,63.2,,,,,-0.25,-0.90,0.22,0.96,,,
10/20/2015,11:56:25,,,,,,,,-0.26,-0.91,0.21,0.97,,,
10/20/2015,11:56:30,14,,63.2,,,,,-0.26,-0.90,0.21,0.96,,,
10/20/2015,11:57:00,,,,,,,,-0.27,-0.91,0.21,0.97,,,
10/20/2015,11:57:05,,,,,,,,-0.26,-0.90,0.20,0.96,,,
10/20/2015,11:57:10,19,30.0,63.4,4.4,0.66,0.65,0.41,-0.26,-0.90,0.22,0.96,,,
10/20/2015,11:57:15,,,,,,,,-0.26,-0.91,0.21,0.97,,,
10/20/2015,11:57:20,14,,63.3,,,,,-0.26,-0.91,0.21,0.97,,,
10/20/2015,11:57:25,,,,,,,,-0.26,-0.90,0.21,0.96,,,
10/20/2015,11:57:30,19,,63.1,,,,,-0.26,-0.91,0.22,0.97,,,
10/20/2015,11:58:00,,,,,,,,-0.26,-0.92,0.20,0.98,,,
10/20/2015,11:58:05,,,,,,,,-0.26,-0.91,0.21,0.97,,,
10/20/2015,11:58:10,21,29.8,63.2,4.4,0.66,0.65,0.41,-0.26,-0.91,0.22,0.97,,,
10/20/2015,11:58:15,,,,,,,,-0.26,-0.91,0.22,0.97,,,
10/20/2015,11:58:20,12,,62.7,,,,,-0.26,-0.90,0.22,0.96,,,
10/20/2015,11:58:25,,,,,,,,-0.25,-0.90,0.22,0.96,,,
10/20/2015,11:58:30,19,,63.2,,,,,-0.25,-0.90,0.23,0.96,,,
10/20/2015,11:59:00,,,,,,,,-0.26,-0.90,0.22,0.96,,,
10/20/2015,11:59:05,,,,,,,,-0.26,-0.90,0.21,0.96,,,
10/20/2015,11:59:10,50,29.9,62.8,4.4,0.66,0.65,0.41,-0.25,-0.90,0.23,0.96,,,
10/20/2015,11:59:15,,,,,,,,-0.26,-0.90,0.23,0.97,,,
10/20/2015,11:59:20,21,,63.4,,,,,-0.27,-0.91,0.22,0.97,,,
10/20/2015,11:59:25,,,,,,,,-0.27,-0.92,0.22,0.98,,,
10/20/2015,11:59:30,7,,63.0,,,,,-0.26,-0.90,0.23,0.97,,,
10/20/2015,12:00:00,,,,4.4,,,,-0.27,-0.91,0.22,0.97,,,
10/20/2015,12:00:05,,,,,,,,-0.27,-0.91,0.21,0.97,,,
10/20/2015,12:00:10,12,29.8,62.9,4.4,0.65,0.65,0.41,-0.26,-0.89,0.23,0.96,,,
10/20/2015,12:00:15,,,,,,,,-0.25,-0.90,0.23,0.96,,,
10/20/2015,12:00:20,45,,62.8,,,,,-0.25,-0.89,0.24,0.96,,,
10/20/2015,12:00:25,,,,,,,,-0.26,-0.90,0.23,0.97,,,
10/20/2015,12:00:30,9,,62.8,,,,,-0.25,-0.90,0.23,0.96,,,
10/20/2015,12:01:00,,,,,,,,-0.27,-0.91,0.22,0.97,,,
10/20/2015,12:01:05,,,,,,,,-0.26,-0.89,0.22,0.96,,,
10/20/2015,12:01:10,35,29.8,63.3,4.4,0.66,0.66,0.40,-0.26,-0.91,0.23,0.97,,,
10/20/2015,12:01:15,,,,,,,,-0.27,-0.90,0.22,0.97,,,
10/20/2015,12:01:20,19,,62.7,,,,,-0.27,-0.91,0.22,0.97,,,
10/20/2015,12:01:25,,,,,,,,-0.27,-0.91,0.23,0.98,,,
10/20/2015,12:01:30,28,,63.8,,,,,-0.27,-0.91,0.22,0.97,,,
10/20/2015,12:02:00,,,,,,,,-0.27,-0.91,0.22,0.97,,,
10/20/2015,12:02:05,,,,,,,,-0.27,-0.90,0.22,0.97,,,
10/20/2015,12:02:10,17,29.8,63.1,4.4,0.66,0.66,0.40,-0.26,-0.90,0.23,0.97,,,
10/20/2015,12:02:15,,,,,,,,-0.27,-0.90,0.23,0.97,,,
10/20/2015,12:02:20,21,,62.9,,,,,-0.26,-0.90,0.23,0.97,,,
10/20/2015,12:02:25,,,,,,,,-0.27,-0.91,0.23,0.98,,,
10/20/2015,12:02:30,19,,63.2,,,,,-0.26,-0.90,0.23,0.97,,,
10/20/2015,12:03:00,,,,,,,,-0.26,-0.91,0.21,0.97,,,
10/20/2015,12:03:05,,,,,,,,-0.26,-0.91,0.22,0.97,,,
10/20/2015,12:03:10,17,29.7,63.2,4.4,0.65,0.66,0.41,-0.26,-0.89,0.24,0.96,,,
10/20/2015,12:03:15,,,,,,,,-0.26,-0.90,0.24,0.97,,,
10/20/2015,12:03:20,28,,63.1,,,,,-0.26,-0.90,0.24,0.97,,,
10/20/2015,12:03:25,,,,,,,,-0.26,-0.90,0.24,0.97,,,
10/20/2015,12:03:30,19,,62.7,,,,,-0.27,-0.90,0.23,0.97,,,
10/20/2015,12:04:00,,,,,,,,-0.26,-0.90,0.23,0.97,,,
10/20/2015,12:04:05,,,,,,,,-0.27,-0.91,0.21,0.97,,,
10/20/2015,12:04:10,37,29.8,65.6,4.4,0.65,0.65,0.41,-0.28,-0.91,0.23,0.98,,,
10/20/2015,12:04:15,,,,,,,,-0.27,-0.91,0.22,0.97,,,
10/20/2015,12:04:20,31,,62.7,,,,,-0.27,-0.92,0.22,0.98,,,
10/20/2015,12:04:25,,,,,,,,0.03,0.06,1.08,1.09,,,
10/20/2015,12:04:30,27,,59.4,,,,,0.06,0.16,1.08,1.09,,,
10/20/2015,12:05:00,,,,,,,,0.07,0.17,1.07,1.08,,,
10/20/2015,12:05:05,,,,,,,,0.07,0.18,1.07,1.08,,,
10/20/2015,12:05:10,28,29.7,62.7,4.4,0.65,0.65,0.41,0.07,0.18,1.09,1.11,,,
10/20/2015,12:05:15,,,,,,,,0.07,0.17,1.08,1.09,,,
10/20/2015,12:05:20,31,,62.7,,,,,0.07,0.18,1.08,1.09,,,
10/20/2015,12:05:25,,,,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:05:30,14,,62.7,,,,,0.07,0.18,1.08,1.09,,,
10/20/2015,12:06:00,,,,,,,,0.06,0.17,1.06,1.07,,,
10/20/2015,12:06:05,,,,,,,,0.07,0.18,1.06,1.08,,,
10/20/2015,12:06:10,21,29.7,63.7,4.4,0.66,0.66,0.40,0.07,0.17,1.07,1.08,,,
10/20/2015,12:06:15,,,,,,,,0.07,0.19,1.08,1.09,,,
10/20/2015,12:06:20,18,,68.4,,,,,0.07,0.18,1.08,1.09,,,
10/20/2015,12:06:25,,,,,,,,0.07,0.19,1.08,1.09,,,
10/20/2015,12:06:30,19,,62.8,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:07:00,,,,,,,,0.07,0.18,1.08,1.09,,,
10/20/2015,12:07:05,,,,,,,,0.07,0.19,1.07,1.09,,,
10/20/2015,12:07:10,35,29.7,63.2,4.3,0.66,0.65,0.41,0.07,0.19,1.08,1.09,,,
10/20/2015,12:07:15,,,,,,,,0.08,0.19,1.08,1.10,,,
10/20/2015,12:07:20,52,,63.2,,,,,0.08,0.19,1.08,1.10,,,
10/20/2015,12:07:25,,,,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:07:30,31,,63.5,,,,,0.07,0.19,1.08,1.09,,,
10/20/2015,12:08:00,,,,,,,,0.07,0.19,1.08,1.09,,,
10/20/2015,12:08:05,,,,,,,,0.07,0.19,1.07,1.09,,,
10/20/2015,12:08:10,21,29.7,63.4,4.4,0.66,0.66,0.41,0.07,0.19,1.08,1.10,,,
10/20/2015,12:08:15,,,,,,,,0.07,0.18,1.07,1.08,,,
10/20/2015,12:08:20,12,,62.9,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:08:25,,,,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:08:30,35,,63.4,,,,,0.07,0.18,1.08,1.09,,,
10/20/2015,12:09:00,,,,,,,,0.07,0.19,1.07,1.09,,,
10/20/2015,12:09:05,,,,,,,,0.07,0.19,1.07,1.09,,,
10/20/2015,12:09:10,19,29.7,63.1,4.3,0.66,0.65,0.41,0.07,0.19,1.08,1.10,,,
10/20/2015,12:09:15,,,,,,,,0.07,0.19,1.08,1.09,,,
10/20/2015,12:09:20,39,,65.6,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:09:25,,,,,,,,0.07,0.18,1.08,1.09,,,
10/20/2015,12:09:30,57,,62.4,,,,,0.07,0.19,1.08,1.09,,,
10/20/2015,12:10:00,,,,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:10:05,,,,,,,,0.07,0.19,1.07,1.09,,,
10/20/2015,12:10:10,24,29.7,62.6,4.3,0.65,0.66,0.40,0.07,0.19,1.08,1.09,,,
10/20/2015,12:10:15,,,,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:10:20,24,,62.7,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:10:25,,,,,,,,0.07,0.18,1.07,1.08,,,
10/20/2015,12:10:30,21,,62.8,,,,,0.07,0.19,1.08,1.10,,,
10/20/2015,12:11:00,,,,,,,,0.18,0.48,0.99,1.12,,,
10/20/2015,12:11:05,,,,,,,,0.19,0.48,0.98,1.11,,,
10/20/2015,12:11:10,10,29.6,62.6,4.4,0.66,0.67,0.40,0.20,0.49,1.00,1.13,,,
10/20/2015,12:11:15,,,,,,,,0.20,0.48,0.99,1.12,,,
10/20/2015,12:11:20,5,,63.6,,,,,0.20,0.49,1.00,1.13,,,
10/20/2015,12:11:25,,,,,,,,0.20,0.50,1.00,1.13,,,
10/20/2015,12:11:30,7,,64.8,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:12:00,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:12:05,,,,,,,,0.19,0.49,0.98,1.11,,,
10/20/2015,12:12:10,7,29.5,61.6,4.4,0.65,0.65,0.41,0.20,0.49,1.00,1.13,,,
10/20/2015,12:12:15,,,,,,,,0.20,0.50,1.00,1.13,,,
10/20/2015,12:12:20,12,,61.1,,,,,0.20,0.49,1.00,1.13,,,
10/20/2015,12:12:25,,,,,,,,0.20,0.50,1.00,1.13,,,
10/20/2015,12:12:30,48,,61.6,,,,,0.20,0.49,1.00,1.13,,,
10/20/2015,12:13:00,,,,,,,,0.20,0.48,0.97,1.10,,,
10/20/2015,12:13:05,,,,,,,,0.19,0.49,0.99,1.12,,,
10/20/2015,12:13:10,14,29.6,61.4,4.3,0.65,0.66,0.41,0.20,0.49,1.00,1.13,,,
10/20/2015,12:13:15,,,,,,,,0.19,0.49,0.99,1.12,,,
10/20/2015,12:13:20,36,,61.4,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:13:25,,,,,,,,0.20,0.49,1.00,1.13,,,
10/20/2015,12:13:30,32,,60.9,,,,,0.20,0.48,0.98,1.11,,,
10/20/2015,12:14:00,,,,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:14:05,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:14:10,10,29.5,60.9,4.4,0.65,0.66,0.40,0.20,0.50,0.99,1.13,,,
10/20/2015,12:14:15,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:14:20,12,,61.3,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:14:25,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:14:30,10,,60.7,,,,,0.20,0.48,0.98,1.11,,,
10/20/2015,12:15:00,,,,,,,,0.20,0.49,0.97,1.11,,,
10/20/2015,12:15:05,,,,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:15:10,7,29.4,61.2,4.4,0.66,0.66,0.41,0.19,0.47,0.99,1.11,,,
10/20/2015,12:15:15,,,,,,,,0.20,0.50,1.00,1.13,,,
10/20/2015,12:15:20,19,,60.9,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:15:25,,,,,,,,0.19,0.48,0.98,1.11,,,
10/20/2015,12:15:30,37,,60.5,,,,,0.19,0.47,0.98,1.11,,,
10/20/2015,12:16:00,,,,,,,,0.19,0.49,0.98,1.11,,,
10/20/2015,12:16:05,,,,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:16:10,7,29.4,60.6,4.4,0.65,0.66,0.40,0.19,0.49,0.98,1.11,,,
10/20/2015,12:16:15,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:16:20,12,,60.7,,,,,0.19,0.48,0.97,1.10,,,
10/20/2015,12:16:25,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:16:30,7,,60.1,,,,,0.19,0.48,0.97,1.10,,,
10/20/2015,12:17:00,,,,,,,,0.19,0.49,0.97,1.11,,,
10/20/2015,12:17:05,,,,,,,,0.20,0.50,0.98,1.12,,,
10/20/2015,12:17:10,10,29.4,60.7,4.4,0.65,0.65,0.41,0.20,0.49,0.98,1.11,,,
10/20/2015,12:17:15,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:17:20,29,,60.3,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:17:25,,,,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:17:30,10,,60.8,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:18:00,,,,,,,,0.20,0.49,0.97,1.11,,,
10/20/2015,12:18:05,,,,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:18:10,15,29.4,60.5,4.4,0.65,0.66,0.40,0.20,0.48,0.98,1.11,,,
10/20/2015,12:18:15,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:18:20,17,,60.4,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:18:25,,,,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:18:30,19,,60.7,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:19:00,,,,,,,,0.20,0.49,0.98,1.12,,,
10/20/2015,12:19:05,,,,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:19:10,24,29.3,60.3,4.4,0.65,0.66,0.40,0.20,0.50,0.99,1.13,,,
10/20/2015,12:19:15,,,,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:19:20,15,,60.6,,,,,0.20,0.50,1.00,1.13,,,
10/20/2015,12:19:25,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:19:30,24,,60.7,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:20:00,,,,,,,,0.20,0.50,0.98,1.12,,,
10/20/2015,12:20:05,,,,,,,,0.20,0.50,0.97,1.11,,,
10/20/2015,12:20:10,10,29.4,60.6,4.4,0.65,0.66,0.40,0.20,0.50,0.99,1.13,,,
10/20/2015,12:20:15,,,,,,,,0.19,0.49,0.98,1.11,,,
10/20/2015,12:20:20,37,,60.1,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:20:25,,,,,,,,0.20,0.49,1.00,1.13,,,
