File Name:,C:\Documents and Settings\dummyCHAI.csv,,,,,,,,,,,,,,
Download Date:,07/04/2015,,,,,,,,,,,,,,
Total Download Time (s):,18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Device Serial #:,MP1411,,,,,,,,,,,,,,
Date/Time Hardware:,2/15/2013,,,,,,,,,,,,,,
Date/Time Software:,1/24/2014,v2.0.5136.37657,,,,,,,,,,,,,
Participant ID#:,,,,,,,,,,,,,,,
Filter ID#:,CM1411,,,,,,,,,,,,,,
Participant Weight (kg),NA,,,,,,,,,,,,,,
Inlet Aerosol Size:,PM2.5,,,,,,,,,,,,,,
Laser Cycling Variables:Delay - Sampling time - Off time,1,1,8,,,,,,,,,,,,
System Times,No cycling - Always On,,,,,,,,,,,,,,
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only),,,,,,,,,,
Nephelometer,10.000,0,10,,,,,,,,,,,,
Temperature,10.000,0,30,,,,,,,,,,,,
Humidity,10.000,0,10,,,,,,,,,,,,
Inlet Pressure,40.950.000,0,30,1280,768,,,,,,,,,,
Orifice Pressure,40.950.000,0,30,2167,1592,,,,,,,,,,
Flow,,,30,900,200,0.5,,,,,,,,,
Accelerometer,,,5,,,,,,,,,,,,
Battery,,,60,,,,,,,,,,,,
Ventilation,NA,NA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,RH-Corrected Nephelometer,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,RH-Corrected Nephelometer,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
07/03/2015,8:09:55,,,,,,,,0.89,0.43,-0.05,0.99,,,
07/03/2015,8:10:00,50,,57.9,,,,,0.92,0.24,-0.02,0.95,,,
07/03/2015,8:10:05,,,,,,,,1.03,0.31,-0.03,1.07,,,
07/03/2015,8:10:10,50,83.6,58,4.2,0.11,0.15,0.77,1.05,0.29,0.05,1.09,,,
07/03/2015,8:10:15,,,,,,,,0.86,0.28,0.08,0.91,,,
07/03/2015,8:10:20,49,,57.5,,,,,0.85,0.2,0.11,0.88,,,
07/03/2015,8:10:25,,,,,,,,0.94,0.15,0.13,0.96,,,
07/03/2015,8:10:30,50,,58,,,,,0.84,0.54,-0.2,1.02,,,
07/03/2015,8:10:35,,,,,,,,0.84,0.5,-0.07,0.98,,,
07/03/2015,8:10:40,49,83.5,58.3,,0.11,0.15,0.77,1.19,0.29,0.17,1.23,,,
07/03/2015,8:10:45,,,,,,,,0.8,0.39,-0.26,0.92,,,
07/03/2015,8:10:50,49,,58.2,,,,,0.79,0.4,-0.24,0.91,,,
07/03/2015,8:10:55,,,,,,,,1.02,-0.22,-0.03,1.04,,,
07/03/2015,8:11:00,49,,58,,,,,0.81,0.81,-0.46,1.24,,,
07/03/2015,8:11:05,,,,,,,,0.88,0.17,-0.19,0.92,,,
07/03/2015,8:11:10,52,83.6,57.9,4.3,0.11,0.15,0.77,0.81,0.38,-0.22,0.93,,,
07/03/2015,8:11:15,,,,,,,,0.87,0.54,-0.07,1.02,,,
07/03/2015,8:11:20,52,,58.1,,,,,0.81,0.51,-0.24,0.99,,,
07/03/2015,8:11:25,,,,,,,,0.92,0.26,-0.07,0.96,,,
07/03/2015,8:11:30,50,,57.8,,,,,0.99,0.23,-0.24,1.04,,,
07/03/2015,8:11:35,,,,,,,,0.92,0.38,-0.19,1.01,,,
